@relation  australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
@outputs Class
@data
1, 3617.0, 42.0, 1, 9, 4, 29.0, 0, 0, 0, 1, 2, 309, 3, 0
1, 2292.0, 3165.0, 1, 8, 4, 165.0, 0, 0, 0, 0, 2, 160, 1059, 0
0, 3175.0, 3.0, 1, 5, 3, 0.0, 0, 0, 0, 0, 2, 160, 21, 0
1, 3442.0, 1335.0, 2, 3, 5, 125.0, 0, 0, 0, 1, 2, 440, 4501, 0
1, 4958.0, 19.0, 2, 1, 1, 0.0, 1, 1, 1, 0, 2, 94, 1, 0
1, 23.0, 75.0, 2, 7, 4, 5.0, 1, 0, 0, 1, 1, 320, 1, 0
1, 2008.0, 25.0, 2, 11, 4, 125.0, 0, 0, 0, 0, 2, 200, 1, 0
0, 2175.0, 175.0, 1, 5, 3, 0.0, 0, 0, 0, 0, 2, 160, 1, 0
1, 3358.0, 25.0, 2, 3, 5, 4.0, 0, 0, 0, 1, 1, 420, 1, 0
1, 3525.0, 165.0, 1, 8, 4, 4.0, 1, 0, 0, 0, 2, 80, 1, 0
0, 3833.0, 4415.0, 2, 8, 4, 125.0, 0, 0, 0, 0, 2, 160, 1, 0
0, 2767.0, 15.0, 2, 7, 4, 2.0, 1, 0, 0, 0, 1, 368, 1, 0
1, 4317.0, 225.0, 2, 3, 5, 75.0, 1, 0, 0, 0, 2, 560, 1, 0
1, 20.0, 7.0, 2, 8, 4, 5.0, 0, 0, 0, 0, 2, 0, 1, 0
1, 4325.0, 2521.0, 2, 11, 8, 21.0, 1, 1, 1, 0, 2, 760, 91, 0
0, 265.0, 271.0, 1, 8, 4, 85.0, 0, 0, 0, 0, 1, 80, 1, 0
0, 2267.0, 79.0, 2, 3, 4, 85.0, 0, 0, 0, 0, 2, 144, 1, 0
1, 3157.0, 375.0, 2, 2, 4, 875.0, 1, 0, 0, 1, 1, 928, 1, 0
1, 2983.0, 35.0, 2, 8, 4, 165.0, 0, 0, 0, 0, 2, 216, 1, 0
0, 2292.0, 125.0, 2, 11, 4, 25.0, 0, 0, 0, 1, 2, 120, 810, 0
0, 1692.0, 5.0, 2, 3, 4, 165.0, 0, 1, 6, 1, 2, 240, 36, 0
0, 2733.0, 1665.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 340, 2, 0
1, 4733.0, 65.0, 2, 8, 4, 1.0, 0, 0, 0, 1, 2, 0, 229, 0
0, 16.0, 165.0, 2, 6, 4, 1.0, 0, 1, 2, 1, 2, 320, 2, 0
1, 2308.0, 0.0, 2, 4, 4, 1.0, 0, 1, 11, 0, 1, 0, 1, 0
1, 5183.0, 3.0, 1, 1, 1, 15.0, 0, 0, 0, 0, 2, 180, 5, 0
1, 2142.0, 75.0, 1, 12, 7, 75.0, 0, 0, 0, 1, 2, 132, 3, 0
1, 3157.0, 5.0, 2, 8, 5, 835.0, 1, 0, 0, 1, 1, 320, 1, 0
1, 28.0, 3.0, 2, 9, 4, 75.0, 0, 0, 0, 1, 2, 300, 68, 0
0, 5683.0, 425.0, 1, 1, 1, 5.0, 0, 0, 0, 1, 2, 0, 5, 0
1, 31.0, 2085.0, 2, 8, 4, 85.0, 0, 0, 0, 0, 2, 300, 1, 0
0, 2725.0, 29.0, 2, 7, 8, 125.0, 0, 1, 1, 1, 2, 272, 109, 0
1, 3983.0, 5.0, 2, 7, 4, 25.0, 1, 0, 0, 0, 1, 288, 1, 0
1, 4092.0, 835.0, 2, 1, 1, 0.0, 1, 0, 0, 0, 2, 130, 2, 0
1, 1942.0, 15.0, 1, 13, 4, 2.0, 1, 0, 0, 1, 2, 100, 21, 0
1, 2108.0, 10085.0, 1, 10, 8, 125.0, 0, 0, 0, 0, 2, 260, 1, 0
0, 3858.0, 5.0, 2, 13, 4, 135.0, 1, 0, 0, 1, 2, 980, 1, 0
1, 2942.0, 125.0, 2, 8, 8, 25.0, 0, 1, 2, 1, 2, 400, 109, 0
0, 2492.0, 125.0, 2, 1, 1, 0.0, 1, 0, 0, 0, 2, 80, 1, 0
1, 3058.0, 271.0, 1, 7, 4, 125.0, 0, 0, 0, 1, 1, 80, 1, 0
