@relation  ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site{cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Site
@data
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, cp
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, cp
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, cp
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, cp
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, cp
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, cp
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, cp
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, cp
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, cp
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, cp
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, cp
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, cp
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, cp
47.0, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, cp
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, cp
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, cp
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, cp
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, cp
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 27.0, cp
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, cp
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, cp
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, cp
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, cp
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, cp
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, cp
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, cp
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, cp
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, cp
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, im
74.0, 44.0, 48.0, 5.0, 55.0, 88.0, 89.0, im
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, im
49.0, 42.0, 48.0, 5.0, 53.0, 79.0, 81.0, im
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, im
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, im
7.0, 46.0, 48.0, 5.0, 56.0, 78.0, 73.0, im
55.0, 47.0, 48.0, 5.0, 57.0, 78.0, 8.0, im
2.0, 46.0, 48.0, 5.0, 57.0, 78.0, 81.0, im
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, im
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, im
71.0, 52.0, 48.0, 5.0, 64.0, 1.0, 99.0, im
35.0, 51.0, 48.0, 5.0, 61.0, 71.0, 74.0, im
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, im
23.0, 48.0, 48.0, 5.0, 59.0, 88.0, 89.0, im
88.0, 42.0, 48.0, 5.0, 52.0, 73.0, 75.0, imU
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, imU
59.0, 29.0, 48.0, 5.0, 64.0, 75.0, 77.0, imU
78.0, 44.0, 48.0, 5.0, 45.0, 73.0, 68.0, imU
63.0, 42.0, 48.0, 5.0, 48.0, 77.0, 8.0, imU
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, imU
7.0, 53.0, 48.0, 5.0, 7.0, 86.0, 87.0, imU
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, om
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, om
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, om
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, om
77.0, 57.0, 1.0, 5.0, 37.0, 54.0, 1.0, omL
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, pp
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, pp
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, pp
68.0, 82.0, 48.0, 5.0, 38.0, 65.0, 56.0, pp
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, pp
69.0, 66.0, 48.0, 5.0, 41.0, 5.0, 25.0, pp
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, pp
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, pp
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, pp
56.0, 54.0, 48.0, 5.0, 43.0, 37.0, 3.0, pp
