@relation  penbased
@attribute At1 integer[0,100]
@attribute At2 integer[0,100]
@attribute At3 integer[0,100]
@attribute At4 integer[0,100]
@attribute At5 integer[0,100]
@attribute At6 integer[0,100]
@attribute At7 integer[0,100]
@attribute At8 integer[0,100]
@attribute At9 integer[0,100]
@attribute At10 integer[0,100]
@attribute At11 integer[0,100]
@attribute At12 integer[0,100]
@attribute At13 integer[0,100]
@attribute At14 integer[0,100]
@attribute At15 integer[0,100]
@attribute At16 integer[0,100]
@attribute Class{0,1,2,3,4,5,6,7,8,9}
@inputs At1,At2,At3,At4,At5,At6,At7,At8,At9,At10,At11,At12,At13,At14,At15,At16
@outputs Class
@data
26, 100, 0, 58, 5, 11, 55, 0, 97, 28, 100, 75, 56, 97, 17, 68, 0
29, 97, 0, 57, 22, 10, 68, 0, 100, 40, 83, 90, 37, 100, 12, 57, 0
16, 78, 0, 38, 31, 0, 74, 13, 100, 59, 71, 100, 28, 91, 11, 39, 0
33, 100, 2, 54, 0, 5, 62, 0, 100, 42, 91, 92, 32, 95, 4, 49, 0
81, 90, 29, 82, 0, 42, 10, 0, 70, 16, 100, 56, 96, 100, 47, 82, 0
2, 61, 0, 8, 41, 0, 77, 31, 100, 80, 67, 100, 30, 69, 11, 20, 0
67, 100, 26, 92, 0, 56, 9, 12, 49, 0, 88, 15, 100, 60, 70, 90, 0
24, 84, 6, 80, 0, 35, 31, 0, 79, 11, 100, 53, 77, 92, 27, 100, 0
31, 93, 7, 59, 8, 20, 54, 0, 98, 27, 100, 65, 60, 94, 0, 100, 0
86, 100, 34, 98, 0, 62, 9, 22, 57, 0, 100, 25, 94, 66, 51, 94, 0
19, 90, 2, 64, 15, 24, 62, 0, 100, 30, 97, 71, 55, 100, 0, 92, 0
74, 100, 2, 49, 29, 0, 100, 54, 61, 95, 0, 39, 75, 77, 6, 21, 0
7, 98, 0, 58, 20, 18, 56, 0, 91, 15, 100, 58, 77, 94, 40, 100, 0
85, 100, 23, 83, 0, 42, 13, 0, 78, 5, 100, 47, 84, 88, 16, 81, 0
13, 54, 0, 16, 39, 0, 82, 17, 100, 54, 89, 93, 47, 100, 26, 65, 0
18, 86, 0, 62, 22, 9, 71, 0, 100, 49, 78, 100, 29, 94, 17, 41, 0
32, 100, 13, 85, 0, 40, 27, 0, 88, 10, 100, 55, 74, 96, 14, 99, 0
25, 77, 3, 60, 11, 0, 71, 4, 100, 57, 56, 100, 2, 66, 0, 11, 0
11, 70, 0, 31, 32, 0, 89, 9, 100, 47, 78, 84, 27, 100, 2, 66, 0
18, 91, 0, 48, 22, 6, 66, 0, 100, 30, 91, 76, 52, 100, 16, 76, 0
8, 87, 0, 41, 21, 0, 70, 16, 100, 55, 97, 100, 45, 97, 9, 63, 0
51, 100, 10, 75, 0, 33, 31, 0, 82, 6, 100, 44, 75, 82, 28, 90, 0
42, 81, 7, 65, 0, 20, 45, 0, 89, 32, 100, 76, 55, 100, 7, 73, 0
19, 59, 22, 8, 60, 0, 92, 31, 100, 78, 65, 100, 27, 88, 0, 51, 0
17, 63, 6, 20, 51, 0, 95, 28, 100, 72, 55, 100, 0, 91, 0, 52, 0
48, 86, 16, 51, 0, 11, 37, 0, 77, 29, 100, 66, 81, 100, 31, 92, 0
40, 97, 2, 65, 0, 9, 51, 0, 94, 46, 100, 100, 38, 95, 14, 44, 0
27, 84, 12, 42, 18, 0, 73, 7, 100, 45, 93, 88, 40, 100, 0, 67, 0
32, 100, 0, 70, 11, 24, 56, 0, 100, 22, 95, 68, 55, 98, 15, 77, 0
100, 46, 93, 86, 46, 100, 10, 72, 0, 28, 29, 0, 76, 18, 88, 55, 0
27, 94, 15, 45, 36, 0, 82, 7, 100, 52, 81, 98, 32, 100, 0, 62, 0
38, 100, 12, 67, 19, 9, 62, 0, 100, 30, 83, 82, 39, 91, 0, 66, 0
52, 100, 18, 79, 0, 35, 23, 0, 72, 18, 100, 57, 72, 92, 21, 85, 0
40, 100, 12, 76, 0, 33, 30, 0, 82, 1, 100, 39, 75, 78, 30, 100, 0
